Opcode,Format type,Format Value,Other field,Value,Operation,Sparc V8 Manual main description page,Sparc V8 Manual main description Chapter reference,Insn Category,Insn Category Index,Format Index,Processing Status,Privilege,Notes,"Register Type, if any",ASM Rator Syntax,Num Args,ASM Arg 1,ASM Arg 2,ASM Arg 3,ASM Arg 4,END
CB03,op2,1010,a,0000,CCC Branch on Unordered or Equal,123,B23,Control Transfer,3,op21,raw,0,,n,cb03,1,disp22,,,,end
CB02,op2,1011,a,0000,CCC Branch on Greater or Equal,123,B23,Control Transfer,3,op21,raw,0,,n,cb02,1,disp22,,,,end
CB023,op2,1100,a,0000,CCC Branch on Unordered or Greater or Equal,123,B23,Control Transfer,3,op21,raw,0,,n,cb023,1,disp22,,,,end
CB01,op2,1101,a,0000,CCC Branch on Less or Equal,123,B23,Control Transfer,3,op21,raw,0,,n,cb01,1,disp22,,,,end
CB013,op2,1110,a,0000,CCC Branch on Unordered or Less or Equal,123,B23,Control Transfer,3,op21,raw,0,,n,cb013,1,disp22,,,,end
CB012,op2,1111,a,0000,CCC Branch on Ordered,123,B23,Control Transfer,3,op21,raw,0,,n,cb012,1,disp22,,,,end
CALL,op,01,,,Call and Link,125,B24,Control Transfer,3,op1,raw,0,,n,call,1,disp30,,,,end
UNIMP,op2,0,,,Unimplemented,137,B31,,6,op25,raw,1,,n,unimp,1,const22,,,,end
BA,op2,1000,a,0001,Branch Always,119,B21,Control Transfer,3,op21,raw,0,,n,"ba,a",1,disp22,,,,end
BN,op2,0000,a,0001,Branch Never,119,B21,Control Transfer,3,op21,raw,0,,n,"bn,a",1,disp22,,,,end
BNE,op2,1001,a,0001,Branch on Not Equal,119,B21,Control Transfer,3,op21,raw,0,,n,"bne,a",1,disp22,,,,end
BE,op2,0001,a,0001,Branch on Equal,119,B21,Control Transfer,3,op21,raw,0,,n,"be,a",1,disp22,,,,end
BG,op2,1010,a,0001,Branch on Greater,119,B21,Control Transfer,3,op21,raw,0,,n,"bg,a",1,disp22,,,,end
BLE,op2,0010,a,0001,Branch on Less or Equal,119,B21,Control Transfer,3,op21,raw,0,,n,"ble,a",1,disp22,,,,end
BGE,op2,1011,a,0001,Branch on Greater or Equal,119,B21,Control Transfer,3,op21,raw,0,,n,"bge,a",1,disp22,,,,end
BL,op2,0011,a,0001,Branch on Less,119,B21,Control Transfer,3,op21,raw,0,,n,"bl,a",1,disp22,,,,end
BGU,op2,1100,a,0001,Branch on Greater Unsigned,119,B21,Control Transfer,3,op21,raw,0,,n,"bgu,a",1,disp22,,,,end
BLEU,op2,0100,a,0001,Branch on Less or Equal Unsigned,119,B21,Control Transfer,3,op21,raw,0,,n,"bleu,a",1,disp22,,,,end
BCC,op2,1101,a,0001,"Branch on Carry Clear (Greater than or Equal, Unsigned)",119,B21,Control Transfer,3,op21,raw,0,,n,"bcc,a",1,disp22,,,,end
BCS,op2,0101,a,0001,"Branch on Carry Set (Less than, Unsigned)",119,B21,Control Transfer,3,op21,raw,0,,n,"bcs,a",1,disp22,,,,end
BPOS,op2,1110,a,0001,Branch on Positive,119,B21,Control Transfer,3,op21,raw,0,,n,"bpos,a",1,disp22,,,,end
BNEG,op2,0110,a,0001,Branch on Negative,119,B21,Control Transfer,3,op21,raw,0,,n,"bneg,a",1,disp22,,,,end
BVC,op2,1111,a,0001,Branch on Overflow Clear,119,B21,Control Transfer,3,op21,raw,0,,n,"bvc,a",1,disp22,,,,end
BVS,op2,0111,a,0001,Branch on Overflow Set,119,B21,Control Transfer,3,op21,raw,0,,n,"bvs,a",1,disp22,,,,end
FBA,op2,1000,a,0001,FCC Branch Always,121,B22,Control Transfer,3,op21,raw,0,,n,"fba,a",1,disp22,,,,end
FBN,op2,0000,a,0001,FCC Branch Never,121,B22,Control Transfer,3,op21,raw,0,,n,"fbn,a",1,disp22,,,,end
FBU,op2,0111,a,0001,FCC Branch on Unordered,121,B22,Control Transfer,3,op21,raw,0,,n,"fbu,a",1,disp22,,,,end
FBG,op2,0110,a,0001,FCC Branch on Greater,121,B22,Control Transfer,3,op21,raw,0,,n,"fbg,a",1,disp22,,,,end
FBUG,op2,0101,a,0001,FCC Branch on Unordered or Greater,121,B22,Control Transfer,3,op21,raw,0,,n,"fbug,a",1,disp22,,,,end
FBL,op2,0100,a,0001,FCC Branch on Less,121,B22,Control Transfer,3,op21,raw,0,,n,"fbl,a",1,disp22,,,,end
FBUL,op2,0011,a,0001,FCC Branch on Unordered or Less,121,B22,Control Transfer,3,op21,raw,0,,n,"fbul,a",1,disp22,,,,end
FBLG,op2,0010,a,0001,FCC Branch on Less or Greater,121,B22,Control Transfer,3,op21,raw,0,,n,"fblg,a",1,disp22,,,,end
FBNE,op2,0001,a,0001,FCC Branch on Not Equal,121,B22,Control Transfer,3,op21,raw,0,,n,"fbne,a",1,disp22,,,,end
FBE,op2,1001,a,0001,FCC Branch on Equal,121,B22,Control Transfer,3,op21,raw,0,,n,"fbe,a",1,disp22,,,,end
FBUE,op2,1010,a,0001,FCC Branch on Unordered or Equal,121,B22,Control Transfer,3,op21,raw,0,,n,"fbue,a",1,disp22,,,,end
FBGE,op2,1011,a,0001,FCC Branch on Greater or Equal,121,B22,Control Transfer,3,op21,raw,0,,n,"fbge,a",1,disp22,,,,end
FBUGE,op2,1100,a,0001,FCC Branch on Unordered or Greater or Equal,121,B22,Control Transfer,3,op21,raw,0,,n,"fbuge,a",1,disp22,,,,end
FBLE,op2,1101,a,0001,FCC Branch on Less or Equal,121,B22,Control Transfer,3,op21,raw,0,,n,"fble,a",1,disp22,,,,end
FBULE,op2,1110,a,0001,FCC Branch on Unordered or Less or Equal,121,B22,Control Transfer,3,op21,raw,0,,n,"fbule,a",1,disp22,,,,end
FBO,op2,1111,a,0001,FCC Branch on Ordered,121,B22,Control Transfer,3,op21,raw,0,,n,"fbo,a",1,disp22,,,,end
CBA,op2,1000,a,0001,CCC Branch Always,123,B23,Control Transfer,3,op21,raw,0,,n,"cba,a",1,disp22,,,,end
CBN,op2,0000,a,0001,CCC Branch Never,123,B23,Control Transfer,3,op21,raw,0,,n,"cbn,a",1,disp22,,,,end
CB3,op2,0111,a,0001,CCC Branch on Unordered,123,B23,Control Transfer,3,op21,raw,0,,n,"cb3,a",1,disp22,,,,end
CB2,op2,0110,a,0001,CCC Branch on Greater,123,B23,Control Transfer,3,op21,raw,0,,n,"cb2,a",1,disp22,,,,end
CB23,op2,0101,a,0001,CCC Branch on Unordered or Greater,123,B23,Control Transfer,3,op21,raw,0,,n,"cb23,a",1,disp22,,,,end
CB1,op2,0100,a,0001,CCC Branch on Less,123,B23,Control Transfer,3,op21,raw,0,,n,"cb1,a",1,disp22,,,,end
CB13,op2,0011,a,0001,CCC Branch on Unordered or Less,123,B23,Control Transfer,3,op21,raw,0,,n,"cb13,a",1,disp22,,,,end
CB12,op2,0010,a,0001,CCC Branch on Less or Greater,123,B23,Control Transfer,3,op21,raw,0,,n,"cb12,a",1,disp22,,,,end
CB123,op2,0001,a,0001,CCC Branch on Not Equal,123,B23,Control Transfer,3,op21,raw,0,,n,"cb123,a",1,disp22,,,,end
CB0,op2,1001,a,0001,CCC Branch on Equal,123,B23,Control Transfer,3,op21,raw,0,,n,"cb0,a",1,disp22,,,,end
CB03,op2,1010,a,0001,CCC Branch on Unordered or Equal,123,B23,Control Transfer,3,op21,raw,0,,n,"cb03,a",1,disp22,,,,end
CB02,op2,1011,a,0001,CCC Branch on Greater or Equal,123,B23,Control Transfer,3,op21,raw,0,,n,"cb02,a",1,disp22,,,,end
CB023,op2,1100,a,0001,CCC Branch on Unordered or Greater or Equal,123,B23,Control Transfer,3,op21,raw,0,,n,"cb023,a",1,disp22,,,,end
CB01,op2,1101,a,0001,CCC Branch on Less or Equal,123,B23,Control Transfer,3,op21,raw,0,,n,"cb01,a",1,disp22,,,,end
CB013,op2,1110,a,0001,CCC Branch on Unordered or Less or Equal,123,B23,Control Transfer,3,op21,raw,0,,n,"cb013,a",1,disp22,,,,end
CB012,op2,1111,a,0001,CCC Branch on Ordered,123,B23,Control Transfer,3,op21,raw,0,,n,"cb012,a",1,disp22,,,,end
